NUMERO DE ESTUDIANTE;TIPO DE INGRESO;COHORTE;AÑO_INGRESO;TIPO_LICEO;PROCEDENCIA_DEL_LICEO;PROMEDIO_BACHILLERATO;GENERO;NOMBRE_CARRERA;SITUACION;INDICE ACADEMICO;ULTIMO PERIODO CURSADO
1;Admisión OPSU;14;2015;P;Vargas;16,2439;M;TECNOLOGÍA ELECTRÓNICA;SUSPENDIDO;3,8333;Enero-Marzo   2016
2;Equivalencia;14;2016;O;PORTUGUESA;17,64;F;COMERCIO EXTERIOR;SUSPENDIDO;1;Enero-Marzo   2016
3;Admisión Regular;15;2016;P;Distrito Federal;16,7317;M;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;1;Abril-Julio 2016
4;Admisión Regular;15;2016;S;Distrito Federal;16,3415;M;TECNOLOGÍA MECÁNICA;ACTIVO;3,8246;Enero-Marzo   2018
5;Admisión Regular;15;2016;P;Aragua;16,6098;M;COMERCIO EXTERIOR;SUSPENDIDO;1;Abril-Julio 2016
6;Admisión Regular;15;2016;P;Miranda;14,439;M;TECNOLOGÍA MECÁNICA;RETIRADO;3,9444;Septiembre - Diciembre 2017
7;Admisión Regular;15;2016;P;Miranda;13,2093;M;TECNOLOGÍA ELÉCTRICA;ACTIVO;3,8333;Enero-Marzo   2018
8;Equivalencia;15;2016;P;VARGAS;15,74;F;ADMINISTRACIÓN ADUANERA;ACTIVO;4,25;Septiembre - Diciembre 2017
9;Admisión Regular;05;2005;O;VARGAS;15,78;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,6154;Septiembre-Diciembre 2005
10;Admisión Regular;05;2005;O;Vargas;12,83;M;TECNOLOGÍA ELÉCTRICA;SUSPENDIDO;2,931;Abril-Julio 2006
11;Admisión Regular;05;2005;O;MIRANDA;14,03;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,4;Enero-Marzo 2006
12;Admisión Regular;05;2005;P;VARGAS;15,49;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,6471;Enero-Marzo 2006
13;Admisión Regular;05;2005;P;Distrito Federal;14,73;M;TECNOLOGÍA ELECTRÓNICA;SUSPENDIDO;1,9231;Septiembre-Diciembre 2005
14;Admisión Regular;05;2005;O;VARGAS;13;M;ADMINISTRACIÓN DEL TRANSPORTE;SUSPENDIDO;1;Septiembre-Diciembre 2005
15;Admisión Regular;05;2005;P;VARGAS;14,76;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,6471;Enero-Marzo 2006
16;Admisión Regular;05;2005;S;Distrito Federal;14,53;F;MANTENIMIENTO AERONÁUTICO;SUSPENDIDO;1;Septiembre-Diciembre 2005
17;Admisión Regular;05;2005;O;Táchira;17,07;F;COMERCIO EXTERIOR;SUSPENDIDO;2,8966;Septiembre-Diciembre 2008
18;Admisión Regular;05;2005;S;Distrito Federal;15,22;M;MANTENIMIENTO AERONÁUTICO;SUSPENDIDO;2,7153;Septiembre-Diciembre 2009
19;Admisión Regular;05;2005;O;DISTRITO CAPITAL;15,26;F;ORGANIZACIÓN EMPRESARIAL;SUSPENDIDO;2,3043;Enero-Marzo 2006
20;Admisión Regular;05;2005;O;DISTRITO CAPITAL;14,78;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,25;Enero-Marzo 2006
21;Admisión Regular;05;2005;P;VARGAS;17,15;M;ADMINISTRACIÓN DEL TURISMO;SUSPENDIDO;1;Septiembre-Diciembre 2005
22;Admisión Regular;05;2005;P;VARGAS;15,05;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;1;Septiembre-Diciembre 2005
23;Admisión Regular;05;2005;O;VARGAS;13,93;F;COMERCIO EXTERIOR;SUSPENDIDO;2,4783;Enero-Marzo 2006
24;Admisión Regular;05;2005;O;VARGAS;12,48;M;COMERCIO EXTERIOR;SUSPENDIDO;2,8667;Enero-Marzo 2008
25;Admisión Regular;05;2005;O;VARGAS;15,54;F;ADMINISTRACIÓN DEL TURISMO;SUSPENDIDO;2,55;Enero-Marzo 2006
26;Admisión Regular;05;2005;O;VARGAS;17,02;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,6471;Enero-Marzo 2006
27;Admisión Regular;05;2005;O;VARGAS;16,85;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,7391;Enero-Marzo 2006
28;Admisión Regular;05;2005;P;VARGAS;15,66;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,75;Enero-Marzo 2006
29;Admisión Regular;05;2005;O;Vargas;16,88;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;1,6923;Septiembre-Diciembre 2005
30;Admisión Regular;05;2005;S;DISTRITO CAPITAL;11,93;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,8916;Enero-Marzo 2008
31;Admisión Regular;05;2005;P;VARGAS;17,22;F;COMERCIO EXTERIOR;SUSPENDIDO;3,055;Abril - Julio 2008
32;Admisión Regular;05;2005;P;VARGAS;15,74;F;COMERCIO EXTERIOR;SUSPENDIDO;3,625;Abril - Julio 2008
33;Admisión Regular;05;2005;O;VARGAS;15,83;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;1;Septiembre-Diciembre 2005
34;Admisión Regular;05;2005;O;Vargas;16,74;M;COMERCIO EXTERIOR;SUSPENDIDO;2,8696;Enero-Marzo 2006
35;Admisión Regular;15;2016;O;Distrito Federal;13,85;F;COMERCIO EXTERIOR;ACTIVO;3,44;Enero-Marzo   2018
36;Admisión Regular;05;2005;O;VARGAS;14,88;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,4783;Enero-Marzo 2006
37;Admisión Regular;05;2005;P;VARGAS;18,68;F;COMERCIO EXTERIOR;SUSPENDIDO;3,2927;Septiembre-Diciembre 2006
38;Admisión Regular;05;2005;S;DISTRITO CAPITAL;13;M;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,6087;Enero-Marzo 2006
39;Admisión Regular;05;2005;P;DISTRITO CAPITAL;14,22;M;MANTENIMIENTO AERONÁUTICO;SUSPENDIDO;3,75;Septiembre-Diciembre 2006
40;Admisión Regular;05;2005;S;DISTRITO CAPITAL;16,1;F;ORGANIZACIÓN EMPRESARIAL;SUSPENDIDO;2,913;Enero-Marzo 2006
41;Admisión Regular;05;2005;O;Vargas;13,61;M;COMERCIO EXTERIOR;SUSPENDIDO;3,2105;Abril - Julio 2009
42;Admisión Regular;05;2005;O;VARGAS;17,78;F;ADMINISTRACIÓN DEL TURISMO;SUSPENDIDO;2,6389;Septiembre-Diciembre 2006
43;Admisión Regular;05;2005;P;DISTRITO CAPITAL;13,4;F;COMERCIO EXTERIOR;SUSPENDIDO;3,6207;Abril - Julio 2010
44;Admisión Regular;05;2005;O;MIRANDA;12,12;M;MANTENIMIENTO AERONÁUTICO;SUSPENDIDO;3,8125;Abril-Julio 2007
45;Admisión Regular;05;2005;P;Barinas;12,71;M;TECNOLOGÍA ELÉCTRICA;SUSPENDIDO;3,2542;Enero-Marzo 2008
46;Admisión Regular;05;2005;S;Distrito Federal;14,44;M;MANTENIMIENTO AERONÁUTICO;SUSPENDIDO;2,3846;Septiembre-Diciembre 2005
47;Admisión Regular;05;2005;O;VARGAS;14,38;M;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,931;Abril-Julio 2006
48;Admisión Regular;05;2005;O;DISTRITO CAPITAL;15,41;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,8205;Abril-Julio 2006
49;Admisión Regular;05;2005;P;Vargas;16,73;F;ADMINISTRACIÓN HOTELERA;SUSPENDIDO;2,7778;Septiembre-Diciembre 2007
50;Admisión Regular;05;2005;P;Vargas;16,51;F;TECNOLOGÍA ELECTRÓNICA;SUSPENDIDO;3,0377;Abril-Julio 2007
51;Admisión Regular;05;2005;P;Miranda;13,1;M;MANTENIMIENTO AERONÁUTICO;SUSPENDIDO;3,3378;Enero-Marzo 2008
52;Admisión Regular;05;2005;O;Vargas;15,71;M;TECNOLOGÍA ELÉCTRICA;SUSPENDIDO;3,4275;Septiembre-Diciembre 2008
53;Admisión Regular;05;2005;O;Distrito Federal;14,34;F;TECNOLOGÍA ELECTRÓNICA;SUSPENDIDO;2,5;Enero-Marzo 2006
54;Admisión Regular;05;2005;O;Distrito Federal;12,95;M;ADMINISTRACIÓN HOTELERA;SUSPENDIDO;2,55;Enero-Marzo 2007
55;Admisión Regular;05;2005;O;MIRANDA;12,17;M;TECNOLOGÍA MECÁNICA;SUSPENDIDO;2,6087;Abril-Julio 2006
56;Admisión Regular;05;2005;O;MIRANDA;13,21;M;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,6207;Enero-Marzo 2006
57;Admisión Regular;05;2005;P;Miranda;13,95;F;COMERCIO EXTERIOR;SUSPENDIDO;2,2759;Enero-Marzo 2006
58;Admisión Regular;05;2005;O;Miranda;14,13;M;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;1,9231;Septiembre-Diciembre 2005
59;Admisión Regular;05;2005;P;MIRANDA;16,17;M;MANTENIMIENTO AERONÁUTICO;SUSPENDIDO;1;Septiembre-Diciembre 2005
60;Admisión Regular;05;2005;S;Distrito Federal;13,8;F;COMERCIO EXTERIOR;SUSPENDIDO;2,35;Enero-Marzo 2006
61;Admisión Regular;05;2005;P;MIRANDA;12,66;M;MANTENIMIENTO AERONÁUTICO;SUSPENDIDO;2,9306;Enero-Marzo 2009
62;Admisión Regular;05;2005;P;Distrito Federal;13,67;F;TECNOLOGÍA ELECTRÓNICA;SUSPENDIDO;2,8533;Intensivo 2008
63;Admisión Regular;05;2005;O;Distrito Federal;17,29;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,9178;Enero-Marzo 2008
64;Admisión Regular;05;2005;O;Distrito Federal;12,74;M;ADMINISTRACIÓN DEL TURISMO;SUSPENDIDO;2,6563;Enero-Marzo 2007
65;Admisión Regular;05;2005;O;Vargas;17,66;F;ORGANIZACIÓN EMPRESARIAL;SUSPENDIDO;2,7241;Enero-Marzo 2006
66;Admisión Regular;05;2005;O;Miranda;11,69;M;TECNOLOGÍA ELECTRÓNICA;SUSPENDIDO;2,6512;Abril - Julio 2009
67;Admisión Regular;05;2005;O;Distrito Federal;16,27;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;1,9231;Septiembre-Diciembre 2005
68;Admisión Regular;05;2005;P;DISTRITO CAPITAL;14,05;M;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;3,12;Enero-Marzo 2006
69;Admisión Regular;05;2005;O;MIRANDA;12,22;M;TECNOLOGÍA ELECTRÓNICA;SUSPENDIDO;1;Septiembre-Diciembre 2005
70;Admisión Regular;05;2005;P;MIRANDA;15,34;F;COMERCIO EXTERIOR;SUSPENDIDO;2,7887;Septiembre-Diciembre 2007
71;Admisión Regular;05;2005;P;MIRANDA;14,9;F;COMERCIO EXTERIOR;SUSPENDIDO;2,4615;Enero-Marzo 2006
72;Admisión Regular;05;2005;P;Lara;13,76;M;MANTENIMIENTO AERONÁUTICO;SUSPENDIDO;2,8796;Abril - Julio 2010
73;Admisión Regular;05;2005;O;MIRANDA;15,44;F;ADMINISTRACIÓN HOTELERA;SUSPENDIDO;3,9419;Septiembre-Diciembre 2007
74;Admisión Regular;05;2005;O;DISTRITO CAPITAL;17,71;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;3,6122;Enero-Marzo 2007
75;Admisión Regular;05;2005;O;MIRANDA;12,68;F;COMERCIO EXTERIOR;SUSPENDIDO;2,0435;Enero-Marzo 2006
76;Admisión Regular;05;2005;O;Miranda;13,82;M;TECNOLOGÍA ELECTRÓNICA;SUSPENDIDO;2,8696;Enero-Marzo 2006
77;Admisión Regular;05;2005;O;Miranda;13,56;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,5217;Enero-Marzo 2006
78;Admisión Regular;05;2005;O;DISTRITO CAPITAL;13,29;F;ADMINISTRACIÓN DEL TURISMO;SUSPENDIDO;3,4;Intensivo 2007
79;Admisión Regular;05;2005;O;MIRANDA;11,98;M;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;1,6522;Septiembre-Diciembre 2006
80;Admisión Regular;05;2005;O;Miranda;13,17;M;TECNOLOGÍA MECÁNICA;SUSPENDIDO;2,087;Enero-Marzo 2006
81;Admisión Regular;05;2005;O;Miranda;12,56;M;TECNOLOGÍA ELÉCTRICA;SUSPENDIDO;2,0455;Enero-Marzo 2006
82;Admisión Regular;05;2005;O;Miranda;13,71;M;TECNOLOGÍA MECÁNICA;SUSPENDIDO;2,1818;Enero-Marzo 2006
83;Admisión Regular;05;2005;O;Miranda;13,93;M;TECNOLOGÍA ELECTRÓNICA;SUSPENDIDO;3,4615;Enero-Marzo 2006
84;Admisión Regular;05;2005;P;MIRANDA;14,05;F;COMERCIO EXTERIOR;SUSPENDIDO;2,9433;septiembre-diciembre  2010
85;Admisión Regular;05;2005;S;DISTRITO CAPITAL;15,32;F;COMERCIO EXTERIOR;SUSPENDIDO;1;Septiembre-Diciembre 2005
86;Admisión Regular;05;2005;S;DISTRITO CAPITAL;13,61;F;COMERCIO EXTERIOR;SUSPENDIDO;2,2174;Enero-Marzo 2006
87;Admisión Regular;05;2005;O;Distrito Federal;15,9;M;TECNOLOGÍA ELECTRÓNICA;SUSPENDIDO;3,2933;Septiembre-Diciembre 2007
88;Admisión Regular;05;2005;O;DISTRITO CAPITAL;13,76;F;ORGANIZACIÓN EMPRESARIAL;SUSPENDIDO;2,4783;Enero-Marzo 2006
89;Admisión Regular;05;2005;O;DISTRITO CAPITAL;12,12;F;COMERCIO EXTERIOR;SUSPENDIDO;2,5;Enero-Marzo 2006
90;Admisión Regular;05;2005;O;MIRANDA;15,18;F;COMERCIO EXTERIOR;SUSPENDIDO;2,4545;Enero-Marzo 2006
91;Admisión Regular;05;2005;P;DISTRITO CAPITAL;16,27;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,6;Enero-Marzo 2006
92;Admisión Regular;05;2005;O;DISTRITO CAPITAL;11,7;M;TECNOLOGÍA ELECTRÓNICA;SUSPENDIDO;1,6923;Septiembre-Diciembre 2005
93;Admisión Regular;05;2005;P;MIRANDA;15,33;M;MANTENIMIENTO AERONÁUTICO;SUSPENDIDO;2,9296;Septiembre-Diciembre 2008
94;Admisión Regular;05;2005;P;Miranda;17,61;M;COMERCIO EXTERIOR;SUSPENDIDO;3,3871;Septiembre-Diciembre 2006
95;Admisión Regular;05;2005;O;Portuguesa;12,76;M;TECNOLOGÍA MECÁNICA;SUSPENDIDO;1,2308;Septiembre-Diciembre 2005
96;Admisión Regular;05;2005;O;Miranda;15,69;F;TECNOLOGÍA MECÁNICA;SUSPENDIDO;1,5217;Septiembre-Diciembre 2006
97;Admisión Regular;05;2005;O;VARGAS;16,59;F;COMERCIO EXTERIOR;SUSPENDIDO;1,6923;Septiembre-Diciembre 2005
98;Admisión Regular;05;2005;O;Miranda;16,63;M;ORGANIZACIÓN EMPRESARIAL;SUSPENDIDO;1;Septiembre-Diciembre 2005
99;Admisión Regular;05;2005;O;Miranda;11,95;M;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;1,6923;Septiembre-Diciembre 2005
100;Admisión Regular;05;2005;O;Distrito Federal;16,33;M;ORGANIZACIÓN EMPRESARIAL;SUSPENDIDO;3,02;Septiembre-Diciembre 2006
101;Admisión Regular;05;2005;P;MIRANDA;13,2;M;COMERCIO EXTERIOR;SUSPENDIDO;1,6923;Septiembre-Diciembre 2005
102;Admisión Regular;05;2005;O;Distrito Federal;12,56;M;MANTENIMIENTO AERONÁUTICO;SUSPENDIDO;2,6909;Abril-Julio 2007
103;Admisión Regular;05;2005;O;Distrito Federal;15,24;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;3,3066;Enero-Marzo   2014
104;Admisión Regular;05;2005;O;Miranda;15,81;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;3,425;Abril - Julio 2010
105;Admisión Regular;05;2005;O;Miranda;13,48;M;ORGANIZACIÓN EMPRESARIAL;SUSPENDIDO;2,4;Enero-Marzo 2006
106;Admisión Regular;05;2005;O;Distrito Federal;16,59;F;MANTENIMIENTO AERONÁUTICO;SUSPENDIDO;1;Septiembre-Diciembre 2005
107;Admisión Regular;05;2005;P;MIRANDA;14,98;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,3846;Septiembre-Diciembre 2005
108;Admisión Regular;05;2005;O;Miranda;13,02;M;MANTENIMIENTO AERONÁUTICO;SUSPENDIDO;2,9355;Abril-Julio 2007
109;Admisión Regular;05;2005;O;Miranda;16,79;M;TECNOLOGÍA ELECTRÓNICA;SUSPENDIDO;2,5909;Enero-Marzo 2006
110;Admisión Regular;05;2005;O;Miranda;16,02;M;TECNOLOGÍA ELÉCTRICA;SUSPENDIDO;3,6316;Abril-Julio 2007
111;Admisión Regular;05;2005;P;DISTRITO CAPITAL;12,23;F;ADMINISTRACIÓN DEL TURISMO;SUSPENDIDO;2,7303;Abril - Julio 2008
112;Admisión Regular;05;2005;S;DISTRITO CAPITAL;12,95;M;COMERCIO EXTERIOR;SUSPENDIDO;2,9492;Abril-Julio 2007
113;Admisión Regular;05;2005;S;DISTRITO CAPITAL;16,55;M;COMERCIO EXTERIOR;SUSPENDIDO;1,3077;Septiembre-Diciembre 2005
114;Admisión Regular;05;2005;P;MIRANDA;12,9;M;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,95;Enero-Marzo 2006
115;Admisión Regular;05;2005;O;Distrito Federal;13,32;M;TECNOLOGÍA ELÉCTRICA;SUSPENDIDO;1,6957;Enero-Marzo 2006
116;Admisión Regular;05;2005;O;Distrito Federal;11,87;M;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;3,0952;Abril - Julio 2009
117;Admisión Regular;05;2005;S;DISTRITO CAPITAL;12,54;M;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,4783;Enero-Marzo 2006
118;Admisión Regular;05;2005;P;Miranda;15,8;M;TECNOLOGÍA MECÁNICA;SUSPENDIDO;2,8;Enero-Marzo 2006
119;Admisión Regular;05;2005;S;DISTRITO CAPITAL;15,05;M;MANTENIMIENTO AERONÁUTICO;SUSPENDIDO;3,2885;Intensivo 2007
120;Admisión OPSU;16;2017;;;;M;ADMINISTRACIÓN DEL TURISMO;PERIODO DE PRUEBA;2,3846;Enero-Marzo   2018
121;Admisión Regular;05;2005;O;MIRANDA;13,05;F;ADMINISTRACIÓN DEL TURISMO;SUSPENDIDO;1,913;Enero-Marzo 2006
122;Admisión OPSU;16;2017;;;;F;ADMINISTRACIÓN HOTELERA;PERIODO DE PRUEBA;2,3846;Enero-Marzo   2018
123;Admisión Regular;05;2005;O;Distrito Federal;16,58;M;TECNOLOGÍA ELECTRÓNICA;SUSPENDIDO;3,1455;Enero- Marzo  2012
124;Admisión OPSU;16;2017;;;;F;COMERCIO EXTERIOR;PERIODO DE PRUEBA;2,2308;Septiembre - Diciembre 2017
125;Admisión Regular;05;2005;O;DISTRITO CAPITAL;12,72;M;COMERCIO EXTERIOR;SUSPENDIDO;2,6154;Enero-Marzo 2006
126;Admisión Regular;05;2005;P;Miranda;15,32;F;COMERCIO EXTERIOR;SUSPENDIDO;1,6522;Enero-Marzo 2006
127;Admisión Regular;05;2005;O;Distrito Federal;15,12;M;TECNOLOGÍA MECÁNICA;SUSPENDIDO;3,037;Septiembre-Diciembre 2006
128;Regular CIU ;08;2008;O;VARGAS;13,45;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;1;Septiembre-Diciembre 2008
129;Admisión OPSU;16;2017;;;;F;COMERCIO EXTERIOR;SUSPENDIDO;1;Septiembre - Diciembre 2017
130;Admisión Regular;05;2005;O;DISTRITO CAPITAL;12,49;F;MANTENIMIENTO AERONÁUTICO;SUSPENDIDO;2,2174;Septiembre-Diciembre 2007
131;Admisión Regular;05;2005;O;DISTRITO CAPITAL;14,2;M;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;3,28;Abril-Julio 2006
132;Admisión Regular;05;2005;P;Distrito Federal;14,83;F;ADMINISTRACIÓN DEL TURISMO;SUSPENDIDO;2,2632;Enero-Marzo 2006
133;Admisión Regular;05;2005;O;Distrito Federal;14,49;F;COMERCIO EXTERIOR;SUSPENDIDO;2,8261;Enero-Marzo 2006
134;Admisión Regular;05;2005;O;Distrito Federal;16,02;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;1;Septiembre-Diciembre 2005
135;Admisión Regular;05;2005;O;Distrito Federal;14,93;F;COMERCIO EXTERIOR;SUSPENDIDO;3,3077;Enero-Marzo 2006
136;Admisión Regular;05;2005;O;Miranda;13,37;M;TECNOLOGÍA MECÁNICA;SUSPENDIDO;2,7;Enero-Marzo 2006
137;Admisión Regular;05;2005;P;Miranda;15,88;F;TECNOLOGÍA ELECTRÓNICA;SUSPENDIDO;1;Septiembre-Diciembre 2005
138;Admisión Regular;05;2005;P;MIRANDA;12,88;F;COMERCIO EXTERIOR;SUSPENDIDO;3,4222;Intensivo 2007
139;Admisión Regular;05;2005;P;Miranda;11,66;F;COMERCIO EXTERIOR;SUSPENDIDO;2,1739;Enero-Marzo 2006
140;Admisión Regular;05;2005;P;Distrito Federal;14,41;F;COMERCIO EXTERIOR;SUSPENDIDO;3,2237;Enero-Marzo 2007
141;Admisión Regular;05;2005;O;Distrito Federal;16,73;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;1;Septiembre-Diciembre 2005
142;Admisión Regular;05;2005;P;MIRANDA;13,23;F;COMERCIO EXTERIOR;SUSPENDIDO;3,1781;Intensivo 2007
143;Admisión Regular;05;2005;O;MIRANDA;12,64;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;3,1977;Septiembre-Diciembre 2007
144;Admisión Regular;05;2005;S;MIRANDA;13,93;F;ADMINISTRACIÓN HOTELERA;SUSPENDIDO;3,06;Septiembre-Diciembre 2006
145;Admisión Regular;05;2005;P;MIRANDA;12,15;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,8154;Septiembre-Diciembre 2007
146;Admisión Regular;05;2005;S;DISTRITO CAPITAL;13,45;M;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;3,1429;Abril-Julio 2007
147;Admisión Regular;05;2005;O;Distrito Federal;15,59;F;TECNOLOGÍA ELECTRÓNICA;SUSPENDIDO;3,4615;Enero-Marzo 2006
148;Admisión Regular;05;2005;O;Miranda;15,02;M;TECNOLOGÍA ELECTRÓNICA;SUSPENDIDO;3,1094;Abril-Julio 2007
149;Admisión Regular;05;2005;P;DISTRITO CAPITAL;12,67;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;1;Septiembre-Diciembre 2005
150;Admisión Regular;05;2005;P;Distrito Federal;12,1;M;TECNOLOGÍA ELECTRÓNICA;SUSPENDIDO;3,0294;Septiembre-Diciembre 2006
151;Admisión Regular;05;2005;P;VARGAS;16,88;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,717;Abril - Julio 2008
152;Admisión Regular;05;2005;O;Distrito Federal;16,34;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,6087;Enero-Marzo 2006
153;Admisión Regular;05;2005;O;Distrito Federal;15,05;F;COMERCIO EXTERIOR;SUSPENDIDO;2,4828;Enero-Marzo 2006
154;Admisión Regular;05;2005;O;Vargas;15,12;M;TECNOLOGÍA MECÁNICA;SUSPENDIDO;1,9231;Septiembre-Diciembre 2005
155;Admisión Regular;05;2005;O;MIRANDA;12;M;TECNOLOGÍA ELÉCTRICA;SUSPENDIDO;1;Septiembre-Diciembre 2005
156;Admisión Regular;05;2005;P;MIRANDA;12,53;F;COMERCIO EXTERIOR;SUSPENDIDO;2,3043;Septiembre-Diciembre 2006
157;Admisión Regular;05;2005;O;VARGAS;12,78;M;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;1;Septiembre-Diciembre 2005
158;Admisión Regular;05;2005;O;DISTRITO CAPITAL;11,88;M;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,3143;Septiembre-Diciembre 2006
159;Admisión Regular;05;2005;O;Miranda;13,98;M;TECNOLOGÍA ELÉCTRICA;SUSPENDIDO;3,7634;Septiembre-Diciembre 2009
160;Admisión Regular;05;2005;O;Distrito Federal;11,81;M;ORGANIZACIÓN EMPRESARIAL;SUSPENDIDO;3,2405;Enero-Marzo 2008
161;Admisión Regular;05;2005;P;MIRANDA;12,93;M;ADMINISTRACIÓN HOTELERA;SUSPENDIDO;1;Septiembre-Diciembre 2005
162;Admisión Regular;05;2005;O;Miranda;12,76;M;TECNOLOGÍA MECÁNICA;SUSPENDIDO;3,1373;Enero-Marzo 2007
163;Admisión Regular;05;2005;P;Miranda;14,07;F;ADMINISTRACIÓN DEL TURISMO;SUSPENDIDO;2,5217;Septiembre-Diciembre 2006
164;Admisión Regular;05;2005;P;MIRANDA;12,71;M;ORGANIZACIÓN EMPRESARIAL;SUSPENDIDO;1,5217;Septiembre-Diciembre 2006
165;Admisión Regular;05;2005;O;Distrito Federal;17,2;F;TECNOLOGÍA ELECTRÓNICA;SUSPENDIDO;3,3659;Septiembre-Diciembre 2006
166;Admisión Regular;05;2005;O;Distrito Federal;14,63;M;TECNOLOGÍA MECÁNICA;SUSPENDIDO;2,875;Abril-Julio 2007
167;Admisión Regular;05;2005;O;Miranda;12,6;M;TECNOLOGÍA ELECTRÓNICA;SUSPENDIDO;2,2308;Enero-Marzo 2006
168;Admisión Regular;05;2005;S;Anzoátegui;11,95;M;MANTENIMIENTO AERONÁUTICO;SUSPENDIDO;2,9739;Septiembre-Diciembre 2011
169;Admisión Regular;05;2005;O;MIRANDA;12,73;M;TECNOLOGÍA ELECTRÓNICA;SUSPENDIDO;2;Septiembre-Diciembre 2005
170;Admisión Regular;05;2005;P;DISTRITO CAPITAL;14,34;F;ADMINISTRACIÓN HOTELERA;SUSPENDIDO;1,9231;Septiembre-Diciembre 2005
171;Admisión Regular;05;2005;O;DISTRITO CAPITAL;15,05;M;TECNOLOGÍA MECÁNICA;SUSPENDIDO;3,375;Enero-Marzo 2007
172;Admisión Regular;05;2005;P;MIRANDA;13;M;TECNOLOGÍA ELECTRÓNICA;SUSPENDIDO;1;Septiembre-Diciembre 2005
173;Admisión Regular;05;2005;O;DISTRITO CAPITAL;12,93;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,8235;Enero-Marzo 2008
174;Admisión Regular;05;2005;P;DISTRITO CAPITAL;14,27;M;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;1;Septiembre-Diciembre 2005
175;Admisión Regular;05;2005;O;Distrito Federal;12,32;M;TECNOLOGÍA ELECTRÓNICA;SUSPENDIDO;1,9565;Enero-Marzo 2007
176;Admisión Regular;05;2005;O;Distrito Federal;12,98;F;ORGANIZACIÓN EMPRESARIAL;SUSPENDIDO;2,5517;Abril-Julio 2006
177;Admisión Regular;05;2005;O;DISTRITO CAPITAL;13,4;M;ADMINISTRACIÓN DEL TRANSPORTE;SUSPENDIDO;2,75;Enero-Marzo 2006
178;Admisión Regular;05;2005;O;DISTRITO CAPITAL;13,9;F;COMERCIO EXTERIOR;SUSPENDIDO;1,7826;Septiembre-Diciembre 2006
179;Admisión Regular;05;2005;O;VARGAS;16,56;M;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;1,6522;Enero-Marzo 2006
180;Admisión Regular;05;2005;O;Distrito Federal;14,59;M;MANTENIMIENTO AERONÁUTICO;SUSPENDIDO;3,1918;Intensivo 2008
181;Admisión Regular;05;2005;O;MIRANDA;15,33;F;COMERCIO EXTERIOR;SUSPENDIDO;2,7642;Abril - Julio 2009
