NUMERO DE ESTUDIANTE;TIPO DE INGRESO;COHORTE;AÑO_INGRESO;TIPO_LICEO;PROCEDENCIA_DEL_LICEO;PROMEDIO_BACHILLERATO;GENERO;NOMBRE_CARRERA;SITUACION;INDICE ACADEMICO;ULTIMO PERIODO CURSADO
3469;Admisión Regular;14;2015;P;DISTRITO CAPITAL;16,3415;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;1;Enero-Marzo   2015
3470;Admisión Regular;14;2015;P;DISTRITO CAPITAL;12,1463;M;ADMINISTRACIÓN HOTELERA;SUSPENDIDO;1,9231;Enero-Marzo   2015
3471;Admisión Regular;14;2015;S;Distrito Federal;16,7317;F;TECNOLOGÍA ELÉCTRICA;SUSPENDIDO;3,5385;Enero-Marzo   2015
3472;Admisión Regular;14;2015;P;Miranda;13,6585;F;ADMINISTRACIÓN HOTELERA;SUSPENDIDO;3,5862;Enero-Marzo   2016
3473;Admisión Regular;14;2015;S;Distrito Federal;15,2683;M;TECNOLOGÍA MECÁNICA;ACTIVO;3,2105;Enero-Marzo   2018
3474;Admisión Regular;14;2015;P;Miranda;13,9556;M;TECNOLOGÍA ELÉCTRICA;ACTIVO;3,2742;Enero-Marzo   2018
3475;Admisión Regular;14;2015;S;DISTRITO CAPITAL;14,0238;M;ADMINISTRACIÓN DEL TURISMO;ACTIVO;3,6117;Enero-Marzo   2018
3476;Admisión Regular;14;2015;P;Distrito Federal;14,1463;M;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;1;Enero-Marzo   2015
3477;Admisión Regular;14;2015;P;Distrito Federal;17,2439;F;COMERCIO EXTERIOR;ACTIVO;4,5094;Enero-Marzo   2018
3478;Admisión Regular;14;2015;P;Distrito Federal;14,2439;M;MANTENIMIENTO AERONÁUTICO;ACTIVO;3,8384;Enero-Marzo   2018
3479;Admisión Regular;14;2015;S;Miranda;14,1463;M;COMERCIO EXTERIOR;ACTIVO;3,9381;Enero-Marzo   2018
3480;Admisión Regular;15;2016;O;Distrito Federal;12,2;M;ADMINISTRACIÓN HOTELERA;PERIODO DE PRUEBA;1,9231;Abril-Julio 2016
3481;Admisión Regular;14;2015;P;Miranda;13,5122;M;TECNOLOGÍA MECÁNICA;ACTIVO;3,4795;Enero-Marzo   2018
3482;Admisión Regular;14;2015;O;MIRANDA;17,5854;F;COMERCIO EXTERIOR;ACTIVO;4,0619;Enero-Marzo   2018
3483;Admisión Regular;14;2015;P;Miranda;16,1579;M;MANTENIMIENTO AERONÁUTICO;ACTIVO;3,3333;Septiembre - Diciembre 2016
3484;Admisión Regular;14;2015;P;Distrito Federal;13,7073;M;MANTENIMIENTO AERONÁUTICO;SUSPENDIDO;2,7;Abril-Julio 2015
3485;Admisión Regular;14;2015;O;Distrito Federal;14,7561;M;COMERCIO EXTERIOR;ACTIVO;3,0811;Septiembre - Diciembre 2017
