NUMERO DE ESTUDIANTE;TIPO_DE_INGRESO;COHORTE;AÑO_INGRESO;TIPO_DE_LICEO;PROCEDENCIA_DEL_LICEO;PROMEDIO DE BACHILLERATO;GENERO;NOMBRE_CARRERA;DESC_SITUACION_GLOBAL;IINDICE;ULTIMO PERIODO CURSADO
1;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;13,875;F;Ingeniería de Computación;Inactivo Eliminado indice acad;2,7307;ENERO-MARZO 2006
2;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;16,5121;F;Ingeniería de Materiales;Inactivo Eliminado indice acad;2,6538;ENERO-MARZO 2006
3;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;15,7317;M;Lic en Matemáticas ( Didáctica de la Mat.);Inactivo Eliminado indice acad;2,6363;ENERO-MARZO 2006
4;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;16,5121;F;Ingeniería Química;Inactivo Eliminado indice acad;2,7692;ENERO-MARZO 2006
5;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;13,6829;M;Urbanismo;Inactivo Eliminado indice acad;2,3846;ENERO-MARZO 2006
6;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;12,9761;M;Urbanismo;Inactivo Eliminado indice acad;1,8076;ENERO-MARZO 2006
7;ADMISION REGULAR;2005;2005;OFICIAL;Miranda;15,5348;M;Licenciatura en Física;Inactivo Eliminado indice acad;2,6538;ENERO-MARZO 2006
8;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;17,1219;M;Ingeniería de Materiales;Inactivo norma de retiros;2,8461;ENERO-MARZO 2006
9;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;13,439;M;Ingeniería Mecánica;Inactivo Eliminado indice acad;2,12;ENERO-MARZO 2006
10;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;12,85;M;Lic.en Matemáticas (Est. y Mat.Computacional);Inactivo Eliminado indice acad;2,7692;ENERO-MARZO 2006
11;ADMISION REGULAR;2005;2005;OFICIAL;Distrito Federal;;F;Licenciatura en Química;Inactivo Eliminado indice acad;2,6086;ENERO-MARZO 2006
12;ADMISION REGULAR;2005;2005;PRIVADO;Falcón;15,1219;M;Ingeniería de Computación;Inactivo Eliminado indice acad;2,3846;ENERO-MARZO 2006
13;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;13,5853;M;Urbanismo;Inactivo Eliminado indice acad;2,2692;ENERO-MARZO 2006
14;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;16,4634;M;Lic.en Matemáticas (Est. y Mat.Computacional);Inactivo norma de retiros;3,3846;ENERO-MARZO 2006
15;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;16,6829;F;Arquitectura;Inactivo Eliminado indice acad;2,0645;ENERO-MARZO 2006
16;ADMISION REGULAR;2005;2005;PRIVADO;Trujillo;17,0952;M;Ingeniería Eléctrica;Inactivo norma de retiros;2,9230;ENERO-MARZO 2006
17;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;13,4146;M;Ingeniería Eléctrica;Inactivo Eliminado indice acad;2,3478;ENERO-MARZO 2006
18;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;16,7317;F;Urbanismo;Inactivo Eliminado indice acad;2,7037;ENERO-MARZO 2006
19;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;17,3658;F;Arquitectura;Inactivo norma de retiros;3,2962;ENERO-MARZO 2006
20;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;12,2195;M;Lic en Matemáticas ( Didáctica de la Mat.);Inactivo Eliminado indice acad;2,1304;ENERO-MARZO 2006
21;ADMISION REGULAR;2005;2005;OFICIAL;Distrito Federal;16,2195;M;Ingeniería de Materiales;Inactivo Eliminado indice acad;2,7391;ENERO-MARZO 2006
22;ADMISION REGULAR;2005;2005;PRIVADO;Aragua;14,225;F;Ingeniería Eléctrica;Inactivo Eliminado indice acad;2,1739;ENERO-MARZO 2006
23;ADMISION REGULAR;2005;2005;OFICIAL;Distrito Federal;15,0243;M;Ingeniería Geofísica;Inactivo Eliminado indice acad;2,4782;ENERO-MARZO 2006
24;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;15,0243;M;Lic en Matemáticas ( Didáctica de la Mat.);Inactivo Eliminado indice acad;2,4782;ENERO-MARZO 2006
25;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;18,6341;M;Ingeniería de Computación;Inactivo norma de retiros;4,3846;ENERO-MARZO 2006
26;ADMISION REGULAR;2005;2005;OFICIAL;Distrito Federal;13,439;M;Ingeniería Eléctrica;Inactivo norma de retiros;1,9230;ENERO-MARZO 2006
27;ADMISION REGULAR;2005;2005;OFICIAL;Monagas;17,9024;M;Licenciatura en Matemáticas;Inactivo Eliminado indice acad;2,7419;ENERO-MARZO 2006
28;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;12,2666;M;Urbanismo;Inactivo Eliminado indice acad;2,1612;ENERO-MARZO 2006
29;ADMISION REGULAR;2005;2005;PRIVADO;Aragua;16,8048;M;Lic en Matemáticas ( Didáctica de la Mat.);Inactivo Eliminado 2PP consecu;2,8421;ENERO-MARZO 2006
30;ADMISION REGULAR;2005;2005;OFICIAL;Guárico;19,3409;M;Ingeniería Eléctrica;Inactivo Eliminado indice acad;2,6521;ENERO-MARZO 2006
31;ADMISION REGULAR;2005;2005;OFICIAL;Distrito Federal;12,5238;M;Ingeniería de Materiales;Inactivo Eliminado indice acad;2,65;ENERO-MARZO 2006
32;ADMISION REGULAR;2005;2005;PRIVADO;Anzoátegui;14,4146;M;Ingeniería Mecánica;Inactivo Eliminado indice acad;2,44;ENERO-MARZO 2006
33;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;15,0975;M;Ingeniería de Materiales;Inactivo norma de retiros;3,4375;ENERO-MARZO 2006
34;ADMISION REGULAR;2005;2005;PRIVADO;Carabobo;16,1951;M;Licenciatura en Química;Inactivo norma de retiros;3,3103;ENERO-MARZO 2006
35;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;12,925;F;Ingeniería Eléctrica;Inactivo Eliminado 2PP consecu;2,8421;ENERO-MARZO 2006
36;ADMISION REGULAR;2005;2005;PRIVADO;Barinas;18,125;F;Arquitectura;Inactivo Eliminado indice acad;1;ENERO-MARZO 2006
37;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;13,2926;M;Urbanismo;Inactivo Eliminado 2PP consecu;2,8636;ENERO-MARZO 2006
38;ADMISION REGULAR;2005;2005;PRIVADO;Carabobo;17,3902;F;Lic.en Matemáticas (Est. y Mat.Computacional);Inactivo Eliminado 2PP consecu;2,85;ENERO-MARZO 2006
39;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;14,1707;M;Licenciatura en Matemáticas;Inactivo norma de retiros;2,9642;ENERO-MARZO 2006
40;ADMISION REGULAR;2005;2005;PRIVADO;Anzoátegui;18,878;M;Lic en Matemáticas ( Didáctica de la Mat.);Inactivo Eliminado indice acad;2,6521;ENERO-MARZO 2006
41;ADMISION REGULAR;2005;2005;PRIVADO;Zulia;17,0243;M;Ingeniería Mecánica;Inactivo norma de retiros;3,7777;ENERO-MARZO 2006
42;ADMISION REGULAR;2005;2005;PRIVADO;Falcón;14,7804;M;Ingeniería de Materiales;Inactivo Eliminado indice acad;2,4782;ENERO-MARZO 2006
43;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;17,7804;M;Ingeniería de Materiales;Inactivo Eliminado indice acad;2,7692;ENERO-MARZO 2006
44;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;15,05;F;Licenciatura en Física;Inactivo Eliminado 2PP consecu;2,8695;ENERO-MARZO 2006
45;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;15,0731;F;Ingeniería de Materiales;Inactivo norma de retiros;2,8846;ENERO-MARZO 2006
46;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;12,5918;M;Lic en Matemáticas ( Didáctica de la Mat.);Inactivo Eliminado 2PP consecu;2,9;ENERO-MARZO 2006
47;ADMISION REGULAR;2005;2005;OFICIAL;Miranda;17,2439;F;Licenciatura en Matemáticas;Inactivo norma de retiros;2,1333;ENERO-MARZO 2006
48;ADMISION REGULAR;2005;2005;OFICIAL;Miranda;;F;Lic.en Matemáticas (Est. y Mat.Computacional);Inactivo Eliminado indice acad;2,4782;ENERO-MARZO 2006
49;ADMISION REGULAR;2005;2005;PRIVADO;Anzoátegui;16,0243;M;Licenciatura en Matemáticas;Inactivo norma de retiros;3,0666;ENERO-MARZO 2006
50;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;13,3;M;Licenciatura en Física;Inactivo Eliminado indice acad;2,7307;ENERO-MARZO 2006
51;ADMISION REGULAR;2005;2005;PRIVADO;Carabobo;14,2439;M;Licenciatura en Matemáticas;Inactivo Eliminado indice acad;2,72;ENERO-MARZO 2006
52;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;16,9512;F;Licenciatura en Química;Inactivo norma de retiros;3,1538;ENERO-MARZO 2006
53;ADMISION REGULAR;2005;2005;OFICIAL;Distrito Federal;14,5952;M;Licenciatura en Biología;Inactivo Eliminado indice acad;1,8260;ENERO-MARZO 2006
54;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;14,0975;F;Ingeniería Eléctrica;Inactivo norma de retiros;3,6923;ENERO-MARZO 2006
55;ADMISION REGULAR;2005;2005;PRIVADO;Carabobo;17,8292;F;Arquitectura;Inactivo Eliminado indice acad;2,7419;ENERO-MARZO 2006
56;ADMISION REGULAR;2005;2005;PRIVADO;Aragua;17,8536;F;Ingeniería Eléctrica;Inactivo Eliminado indice acad;2,1923;ENERO-MARZO 2006
57;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;15,439;F;Urbanismo;Inactivo Eliminado indice acad;2,5384;ENERO-MARZO 2006
58;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;16,5853;F;Licenciatura en Biología;Inactivo norma de retiros;3,3333;ENERO-MARZO 2006
59;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;11,5294;M;Lic en Matemáticas ( Didáctica de la Mat.);Inactivo Eliminado indice acad;1,8695;ENERO-MARZO 2006
60;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;16,878;F;Urbanismo;Inactivo Eliminado indice acad;2,5483;ENERO-MARZO 2006
61;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;16,9024;M;Lic.en Matemáticas (Est. y Mat.Computacional);Inactivo Eliminado indice acad;2,76;ENERO-MARZO 2006
62;ADMISION REGULAR;2005;2005;OFICIAL;Distrito Federal;13,5609;M;Ingeniería Eléctrica;Inactivo Eliminado indice acad;2,4782;ENERO-MARZO 2006
63;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;16,317;M;Arquitectura;Inactivo Eliminado indice acad;1,8461;ENERO-MARZO 2006
64;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;14,8292;F;Arquitectura;Inactivo Eliminado indice acad;2,6;ENERO-MARZO 2006
65;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;16,3902;M;Licenciatura en Matemáticas;Inactivo Eliminado indice acad;2,7857;ENERO-MARZO 2006
66;ADMISION REGULAR;2005;2005;OFICIAL;Distrito Federal;12,9523;M;Ingeniería Eléctrica;Inactivo norma de retiros;3,2558;SEPTIEMBRE-DICIEMBRE 2006
67;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;19,0731;F;Licenciatura en Química;Inactivo norma de retiros;3,4285;SEPTIEMBRE-DICIEMBRE 2006
68;ADMISION REGULAR;2005;2005;PRIVADO;Anzoátegui;17,7647;F;Ingeniería Geofísica;Inactivo Eliminado indice acad;2,3125;SEPTIEMBRE-DICIEMBRE 2006
69;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;16,8536;M;Arquitectura;Inactivo norma de retiros;2,8653;SEPTIEMBRE-DICIEMBRE 2006
70;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;14,6829;M;Ingeniería de Computación;Inactivo Eliminado indice acad;2,6326;SEPTIEMBRE-DICIEMBRE 2006
71;ADMISION REGULAR;2005;2005;PRIVADO;Nueva Esparta;14,6097;M;Lic.en Matemáticas (Est. y Mat.Computacional);Inactivo norma de retiros;3,4583;SEPTIEMBRE-DICIEMBRE 2006
72;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;14,3902;M;Lic en Matemáticas ( Didáctica de la Mat.);Inactivo norma de retiros;2,9655;SEPTIEMBRE-DICIEMBRE 2006
73;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;14,1707;M;Licenciatura en Física;Inactivo norma de retiros;2,8333;SEPTIEMBRE-DICIEMBRE 2006
74;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;16,0487;M;Licenciatura en Química;Inactivo norma de retiros;3,2903;SEPTIEMBRE-DICIEMBRE 2006
75;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;15,9268;F;Ingeniería de Materiales;Inactivo norma de retiros;2,9333;SEPTIEMBRE-DICIEMBRE 2006
76;ADMISION REGULAR;2005;2005;OFICIAL;Táchira;12,9756;M;Ingeniería Geofísica;Inactivo Eliminado indice acad;2,6111;SEPTIEMBRE-DICIEMBRE 2006
77;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;18;F;Ingeniería Electrónica;Inactivo norma de retiros;3,6833;SEPTIEMBRE-DICIEMBRE 2006
78;ADMISION REGULAR;2006;2006;PRIVADO;Distrito Federal;15,5238;M;Lic.en Matemáticas (Est. y Mat.Computacional);Inactivo norma de retiros;2,4;SEPTIEMBRE-DICIEMBRE 2006
79;ADMISION REGULAR;2006;2006;PRIVADO;Aragua;18,275;M;Ingeniería Eléctrica;Inactivo Eliminado indice acad;1;SEPTIEMBRE-DICIEMBRE 2006
80;ADMISION REGULAR;2006;2006;PRIVADO;Miranda;12,1219;M;Lic.en Matemáticas (Est. y Mat.Computacional);Inactivo Eliminado indice acad;1,8;SEPTIEMBRE-DICIEMBRE 2006
81;ADMISION REGULAR;2006;2006;OFICIAL;Distrito Federal;19,6904;F;Licenciatura en Matemáticas;Inactivo Eliminado indice acad;1;SEPTIEMBRE-DICIEMBRE 2006
82;ADMISION REGULAR;2006;2006;PRIVADO;Anzoátegui;18,95;F;Lic.en Matemáticas (Est. y Mat.Computacional);Inactivo Eliminado indice acad;1,2;SEPTIEMBRE-DICIEMBRE 2006
83;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;16,0975;M;Ingeniería Mecánica;Inactivo norma de retiros;3,1702;SEPTIEMBRE-DICIEMBRE 2006
84;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;15,65;F;Lic.en Matemáticas (Est. y Mat.Computacional);Inactivo norma de retiros;3,1666;SEPTIEMBRE-DICIEMBRE 2006
85;ADMISION REGULAR;2006;2006;PRIVADO;Distrito Federal;15,317;M;Ingeniería Mecánica;Inactivo norma de retiros;3,8666;SEPTIEMBRE-DICIEMBRE 2006
86;ADMISION REGULAR;2006;2006;PRIVADO;Miranda;16,3658;F;Ingeniería de Materiales;Inactivo Eliminado indice acad;1;SEPTIEMBRE-DICIEMBRE 2006
87;ADMISION REGULAR;2006;2006;PRIVADO;Miranda;16,3;M;Licenciatura en Matemáticas;Inactivo Eliminado indice acad;1,2;SEPTIEMBRE-DICIEMBRE 2006
88;EQUIVALENCIA;2005;2006;;;;M;Ingeniería Mecánica;Inactivo Eliminado 2PP consecu;2,9473;SEPTIEMBRE-DICIEMBRE 2006
89;ADMISION REGULAR;2006;2006;PRIVADO;Miranda;17,3658;M;Ingeniería de Computación;Inactivo Eliminado indice acad;1;SEPTIEMBRE-DICIEMBRE 2006
90;ADMISION REGULAR;2006;2006;OFICIAL;Aragua;19,5121;F;Licenciatura en Química;Inactivo Eliminado indice acad;1;SEPTIEMBRE-DICIEMBRE 2006
91;ADMISION REGULAR;2005;2005;OFICIAL;Miranda;16,1463;M;Licenciatura en Química;Inactivo norma de retiros;3,1860;SEPTIEMBRE-DICIEMBRE 2006
92;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;15,2926;M;Ingeniería de Materiales;Inactivo norma de retiros;3,3913;SEPTIEMBRE-DICIEMBRE 2006
93;EQUIVALENCIA;2006;2006;;;;M;Ingeniería Electrónica;Inactivo Eliminado indice acad;1;SEPTIEMBRE-DICIEMBRE 2006
94;ADMISION REGULAR;2005;2005;OFICIAL;Miranda;17,1707;F;Ingeniería Geofísica;Inactivo norma de retiros;3,0416;SEPTIEMBRE-DICIEMBRE 2006
95;ADMISION REGULAR;2006;2006;PRIVADO;Miranda;15,8048;M;Licenciatura en Biología;Inactivo Eliminado indice acad;1,2307;SEPTIEMBRE-DICIEMBRE 2006
96;EQUIVALENCIA;2005;2006;OFICIAL;Miranda;12,0425;M;Ingeniería Mecánica;Inactivo Eliminado indice acad;2,5789;SEPTIEMBRE-DICIEMBRE 2006
97;ADMISION REGULAR;2006;2006;PRIVADO;Falcón;14,9512;F;Lic en Matemáticas ( Didáctica de la Mat.);Inactivo Eliminado indice acad;1;SEPTIEMBRE-DICIEMBRE 2006
98;ADMISION REGULAR;2005;2005;OFICIAL;Miranda;16,2439;M;Ingeniería Geofísica;Inactivo norma de retiros;3,1162;SEPTIEMBRE-DICIEMBRE 2006
99;ADMISION REGULAR;2006;2006;PRIVADO;Distrito Federal;12,475;M;Ingeniería Mecánica;Inactivo Eliminado indice acad;1,2;SEPTIEMBRE-DICIEMBRE 2006
100;ADMISION REGULAR;2006;2006;PRIVADO;Aragua;19,0487;M;Licenciatura en Física;Inactivo norma de retiros;1,9230;SEPTIEMBRE-DICIEMBRE 2006
101;ADMISION REGULAR;2006;2006;PRIVADO;Falcón;15,2682;F;Lic en Matemáticas ( Didáctica de la Mat.);Inactivo norma de retiros;2,5333;SEPTIEMBRE-DICIEMBRE 2006
102;ADMISION REGULAR;2006;2006;PRIVADO;Miranda;12,6944;M;Licenciatura en Biología;Inactivo Eliminado indice acad;1;SEPTIEMBRE-DICIEMBRE 2006
103;ADMISION REGULAR;2006;2006;OFICIAL;Distrito Federal;15,15;F;Ingeniería de Computación;Inactivo Eliminado indice acad;1,5384;SEPTIEMBRE-DICIEMBRE 2006
104;ADMISION REGULAR;2006;2006;PRIVADO;Distrito Federal;15,1219;F;Licenciatura en Química;Inactivo Eliminado indice acad;1;SEPTIEMBRE-DICIEMBRE 2006
105;ADMISION REGULAR;2006;2006;PRIVADO;Carabobo;17,2195;M;Ingeniería Eléctrica;Inactivo Eliminado indice acad;1;SEPTIEMBRE-DICIEMBRE 2006
106;ADMISION REGULAR;2006;2006;PRIVADO;Aragua;19,4878;F;Licenciatura en Química;Inactivo norma de retiros;3,3846;SEPTIEMBRE-DICIEMBRE 2006
107;ADMISION REGULAR;2006;2006;PRIVADO;Miranda;15,6279;F;Ingeniería de Materiales;Inactivo Eliminado indice acad;1,2307;SEPTIEMBRE-DICIEMBRE 2006
108;ADMISION REGULAR;2006;2006;OFICIAL;Miranda;17,756;F;Licenciatura en Matemáticas;Inactivo Eliminado indice acad;1;SEPTIEMBRE-DICIEMBRE 2006
109;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;12,5121;M;Ingeniería Eléctrica;Inactivo norma de retiros;3,0476;SEPTIEMBRE-DICIEMBRE 2006
110;ADMISION REGULAR;2006;2006;PRIVADO;Miranda;12,6666;M;Ingeniería Eléctrica;Inactivo norma de retiros;2,3846;SEPTIEMBRE-DICIEMBRE 2006
111;ADMISION REGULAR;2006;2006;PRIVADO;Miranda;16,1219;M;Licenciatura en Física;Inactivo norma de retiros;1,9230;SEPTIEMBRE-DICIEMBRE 2006
112;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;17,756;F;Licenciatura en Química;Inactivo norma de retiros;3,4888;SEPTIEMBRE-DICIEMBRE 2006
113;ADMISION REGULAR;2006;2006;PRIVADO;Distrito Federal;17,525;F;Urbanismo;Inactivo Eliminado indice acad;1;SEPTIEMBRE-DICIEMBRE 2006
114;ADMISION REGULAR;2006;2006;PRIVADO;Miranda;13,875;M;Lic en Matemáticas ( Didáctica de la Mat.);Inactivo Eliminado indice acad;1,8;SEPTIEMBRE-DICIEMBRE 2006
115;ADMISION REGULAR;2006;2006;PRIVADO;Miranda;16,282;M;Licenciatura en Biología;Inactivo Eliminado indice acad;1,6666;SEPTIEMBRE-DICIEMBRE 2006
116;ADMISION REGULAR;2006;2006;PRIVADO;Carabobo;16,2439;M;Ingeniería de Materiales;Inactivo Eliminado indice acad;1,2307;SEPTIEMBRE-DICIEMBRE 2006
117;ADMISION REGULAR;2006;2006;OFICIAL;Miranda;14,75;M;Licenciatura en Matemáticas;Inactivo Eliminado indice acad;1;SEPTIEMBRE-DICIEMBRE 2006
118;ADMISION REGULAR;2006;2006;PRIVADO;Carabobo;18,75;F;Licenciatura en Matemáticas;Inactivo Eliminado indice acad;1,2;SEPTIEMBRE-DICIEMBRE 2006
119;ADMISION REGULAR;2006;2006;PRIVADO;Miranda;17,439;M;Ingeniería Mecánica;Inactivo Eliminado indice acad;1;SEPTIEMBRE-DICIEMBRE 2006
120;ADMISION REGULAR;2006;2006;PRIVADO;Miranda;15,317;F;Lic en Matemáticas ( Didáctica de la Mat.);Inactivo Eliminado indice acad;1,8;SEPTIEMBRE-DICIEMBRE 2006
121;ADMISION REGULAR;2006;2006;PRIVADO;Miranda;17,4285;F;Licenciatura en Biología;Inactivo Eliminado indice acad;1;SEPTIEMBRE-DICIEMBRE 2006
122;ADMISION REGULAR;2006;2006;PRIVADO;Miranda;14,7317;F;Arquitectura;Inactivo Eliminado indice acad;1;SEPTIEMBRE-DICIEMBRE 2006
123;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;16,6341;M;Ingeniería de Computación;Inactivo norma de retiros;3,8793;SEPTIEMBRE-DICIEMBRE 2006
124;ADMISION REGULAR;2006;2006;PRIVADO;Miranda;12,4878;M;Lic.en Matemáticas (Est. y Mat.Computacional);Inactivo Eliminado indice acad;1,6923;SEPTIEMBRE-DICIEMBRE 2006
125;ADMISION REGULAR;2006;2006;PRIVADO;Distrito Federal;18,0243;M;Ingeniería Química;Inactivo norma de retiros;1,9230;SEPTIEMBRE-DICIEMBRE 2006
126;ADMISION REGULAR;2006;2006;PRIVADO;Distrito Federal;16,6829;M;Urbanismo;Inactivo Eliminado indice acad;1,75;SEPTIEMBRE-DICIEMBRE 2006
127;ADMISION REGULAR;2006;2006;PRIVADO;Miranda;13,7073;M;Ingeniería de Materiales;Inactivo Eliminado indice acad;1;SEPTIEMBRE-DICIEMBRE 2006
128;ADMISION REGULAR;2006;2006;PRIVADO;Portuguesa;19,6829;F;Ingeniería de Materiales;Inactivo Eliminado indice acad;1;SEPTIEMBRE-DICIEMBRE 2006
129;ADMISION REGULAR;2006;2006;PRIVADO;Nueva Esparta;17,5121;M;Lic.en Matemáticas (Est. y Mat.Computacional);Inactivo norma de retiros;3,2;SEPTIEMBRE-DICIEMBRE 2006
130;ADMISION REGULAR;2006;2006;PRIVADO;Distrito Federal;16;F;Ingeniería Electrónica;Inactivo Eliminado indice acad;1;SEPTIEMBRE-DICIEMBRE 2006
131;ADMISION REGULAR;2006;2006;PRIVADO;Distrito Federal;13,1707;M;Licenciatura en Química;Inactivo Eliminado indice acad;1,2307;SEPTIEMBRE-DICIEMBRE 2006
132;ADMISION REGULAR;2006;2006;PRIVADO;Miranda;19,2439;F;Ingeniería Eléctrica;Inactivo Eliminado indice acad;1;SEPTIEMBRE-DICIEMBRE 2006
133;ADMISION REGULAR;2006;2006;PRIVADO;Miranda;16,0487;F;Urbanismo;Inactivo norma de retiros;2,1875;SEPTIEMBRE-DICIEMBRE 2006
134;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;14,4634;F;Licenciatura en Biología;Inactivo norma de retiros;3,2156;SEPTIEMBRE-DICIEMBRE 2006
135;ADMISION REGULAR;2006;2006;PRIVADO;Miranda;14,3658;F;Licenciatura en Química;Inactivo Eliminado indice acad;1,4615;SEPTIEMBRE-DICIEMBRE 2006
136;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;16,6341;M;Ingeniería de Materiales;Inactivo norma de retiros;3;SEPTIEMBRE-DICIEMBRE 2006
137;ADMISION REGULAR;2006;2006;PRIVADO;Aragua;17,2195;F;Ingeniería Química;Inactivo Eliminado indice acad;1;SEPTIEMBRE-DICIEMBRE 2006
138;ADMISION REGULAR;2006;2006;PRIVADO;Distrito Federal;13,7317;M;Ingeniería Eléctrica;Inactivo Eliminado indice acad;1,3076;SEPTIEMBRE-DICIEMBRE 2006
139;ADMISION REGULAR;2006;2006;PRIVADO;Guárico;19,5853;F;Licenciatura en Física;Inactivo Eliminado indice acad;1;SEPTIEMBRE-DICIEMBRE 2006
140;ADMISION REGULAR;2006;2006;PRIVADO;Miranda;19,1219;M;Licenciatura en Matemáticas;Inactivo Eliminado indice acad;1,8;SEPTIEMBRE-DICIEMBRE 2006
141;ADMISION REGULAR;2006;2006;PRIVADO;Distrito Federal;14,9268;F;Licenciatura en Biología;Inactivo Eliminado indice acad;1;SEPTIEMBRE-DICIEMBRE 2006
142;ADMISION REGULAR;2006;2006;OFICIAL;Miranda;16,1707;M;Licenciatura en Biología;Inactivo Eliminado indice acad;1;SEPTIEMBRE-DICIEMBRE 2006
143;ADMISION REGULAR;2006;2006;PRIVADO;Miranda;16,756;M;Arquitectura;Inactivo Eliminado indice acad;1,1875;SEPTIEMBRE-DICIEMBRE 2006
144;ADMISION REGULAR;2006;2006;PRIVADO;Distrito Federal;13,4878;F;Lic.en Matemáticas (Est. y Mat.Computacional);Inactivo Eliminado indice acad;1;SEPTIEMBRE-DICIEMBRE 2006
145;ADMISION REGULAR;2005;2005;OFICIAL;Distrito Federal;12,5609;M;Licenciatura en Matemáticas;Inactivo Eliminado indice acad;2,6829;SEPTIEMBRE-DICIEMBRE 2006
146;ADMISION REGULAR;2006;2006;PRIVADO;Miranda;17,1463;M;Licenciatura en Biología;Inactivo Eliminado indice acad;1,2307;SEPTIEMBRE-DICIEMBRE 2006
147;ADMISION REGULAR;2006;2006;PRIVADO;Aragua;16,9024;M;Ingeniería Geofísica;Inactivo norma de retiros;2,1538;SEPTIEMBRE-DICIEMBRE 2006
148;ADMISION REGULAR;2006;2006;PRIVADO;Distrito Federal;17,5853;M;Licenciatura en Matemáticas;Inactivo Eliminado indice acad;1;SEPTIEMBRE-DICIEMBRE 2006
149;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;12,0243;M;Ingeniería Mecánica;Inactivo Eliminado indice acad;2,3333;SEPTIEMBRE-DICIEMBRE 2006
150;ADMISION REGULAR;2006;2006;PRIVADO;Miranda;17,5609;M;Arquitectura;Inactivo Eliminado indice acad;1;SEPTIEMBRE-DICIEMBRE 2006
151;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;15,5609;M;Ingeniería de Materiales;Inactivo Eliminado 3PP;2,8153;ABRIL-JULIO 2007
152;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;13,2926;M;Urbanismo;Inactivo norma de retiros;3,0754;ABRIL-JULIO 2007
153;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;15,1951;F;Lic.en Matemáticas (Est. y Mat.Computacional);Inactivo Eliminado indice acad;2,75;ABRIL-JULIO 2007
154;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;13,7804;M;Urbanismo;Inactivo norma de retiros;3,1486;ABRIL-JULIO 2007
155;ADMISION REGULAR;2005;2005;OFICIAL;Vargas;17,2558;M;Lic en Matemáticas ( Didáctica de la Mat.);Inactivo norma de retiros;3,1206;ABRIL-JULIO 2007
