NUMERO DE ESTUDIANTE;TIPO_DE_INGRESO;COHORTE;AÑO_INGRESO;TIPO_DE_LICEO;PROCEDENCIA_DEL_LICEO;PROMEDIO DE BACHILLERATO;GENERO;NOMBRE_CARRERA;DESC_SITUACION_GLOBAL;IINDICE;ULTIMO PERIODO CURSADO
16750;ADMISION REGULAR;2015;2016;PRIVADO;Miranda;19,0487;M;Ingeniería de Computación;Activo Normal;4,6666;ENERO-MARZO 2018
16751;ADMISION REGULAR;2015;2016;PRIVADO;Miranda;18,5853;F;Urbanismo;Activo Normal;3,8571;ENERO-MARZO 2018
16752;ADMISION REGULAR;2015;2016;PRIVADO;Aragua;19,7179;F;Ingeniería Mecánica;Activo Normal;4,1551;ENERO-MARZO 2018
16753;ADMISION REGULAR;2015;2016;PRIVADO;Miranda;16,7317;F;Ingeniería Química;Activo Normal;4,3448;ENERO-MARZO 2018
16754;OPSU;2015;2016;SEMI-PRIVADO;;18,6;F;Ingeniería Geofísica;Activo Normal;3,375;ENERO-MARZO 2018
16755;OPSU;2015;2016;PRIVADO;Anzoátegui;18,756;M;Ingeniería Mecánica;Activo Normal;3,8253;ENERO-MARZO 2018
16756;OPSU;2015;2016;OFICIAL;Distrito Federal;18,1428;F;Urbanismo;Activo Periodo de Prueba;2,125;ENERO-MARZO 2018
16757;ADMISION REGULAR;2015;2016;OFICIAL;Mérida;16,0487;M;Urbanismo;Activo Normal;3,6603;ENERO-MARZO 2018
16758;OPSU;2015;2016;PRIVADO;Trujillo;19,4615;M;Ingeniería de Telecomunicaciones;Activo Normal;3,3055;ENERO-MARZO 2018
16759;ADMISION REGULAR;2015;2016;SEMI-PRIVADO;Miranda;19,6097;M;Ingeniería de Telecomunicaciones;Activo Normal;4,7678;ENERO-MARZO 2018
16760;ADMISION REGULAR;2015;2016;OFICIAL;Miranda;13,9047;M;Comercio Exterior;Activo Normal;3,9107;ENERO-MARZO 2018
16761;OPSU;2015;2016;PRIVADO;Miranda;16,8048;F;Licenciatura en Biología;Activo Normal;3,4130;ENERO-MARZO 2018
16762;ADMISION REGULAR;2015;2016;SEMI-PRIVADO;Distrito Federal;17,3902;M;Licenciatura en Matemáticas;Activo Normal;3,6792;ENERO-MARZO 2018
16763;OPSU;2015;2016;OFICIAL;Aragua;19,8536;F;Ingeniería de Producción;Activo Normal;4,2622;ENERO-MARZO 2018
16764;ADMISION REGULAR;2015;2016;SEMI-PRIVADO;Distrito Federal;18,3902;F;Organización Empresarial;Activo Normal;3,8518;ENERO-MARZO 2018
16765;OPSU;2015;2016;PRIVADO;Anzoátegui;19,6585;F;Ingeniería Química;Activo Normal;3,5;ENERO-MARZO 2018
16766;ADMISION REGULAR;2015;2016;PRIVADO;Miranda;19,6097;F;Arquitectura;Activo Normal;4,4444;ENERO-MARZO 2018
16767;ADMISION REGULAR;2015;2016;PRIVADO;Aragua;18,4878;F;Arquitectura;Activo Normal;4;ENERO-MARZO 2018
16768;ADMISION REGULAR;2015;2016;PRIVADO;Miranda;16,2682;F;Ingeniería Química;Activo Normal;4,06;ENERO-MARZO 2018
16769;ADMISION REGULAR;2015;2016;PRIVADO;Distrito Federal;16,9756;M;Ingeniería Electrónica;Activo Normal;4,1333;ENERO-MARZO 2018
16770;OPSU;2015;2016;PRIVADO;Aragua;16,3658;F;Ingeniería de Materiales;Activo Normal;3,5111;ENERO-MARZO 2018
16771;ADMISION REGULAR;2015;2016;PRIVADO;Lara;18,027;M;Ingeniería de Materiales;Activo Normal;4,0166;ENERO-MARZO 2018
16772;OPSU;2015;2016;PRIVADO;Miranda;17,1428;M;Ingeniería Geofísica;Activo Periodo de Prueba;2,3846;ENERO-MARZO 2018
16773;ADMISION REGULAR;2015;2016;PRIVADO;Lara;19,7804;M;Ingeniería de Producción;Activo Normal;3,8793;ENERO-MARZO 2018
16774;OPSU;2015;2016;PRIVADO;;17,0976;M;Ingeniería Mecánica;Activo Normal;3,4545;ENERO-MARZO 2018
16775;OPSU;2015;2016;PRIVADO;Miranda;17,6341;M;Ingeniería de Computación;Activo Normal;3,8913;ENERO-MARZO 2018
16776;OPSU;2015;2016;PRIVADO;Miranda;16,6585;F;Arquitectura;Activo Normal;3,4473;ENERO-MARZO 2018
16777;ADMISION REGULAR;2015;2016;PRIVADO;Aragua;19,1219;M;Ingeniería Eléctrica;Activo Normal;3,5625;ENERO-MARZO 2018
16778;ADMISION REGULAR;2015;2016;PRIVADO;Distrito Federal;14,9756;M;Tecnología Electrónica;Activo Normal;3,2941;ENERO-MARZO 2018
16779;OPSU;2015;2016;PRIVADO;Aragua;15,9512;M;Licenciatura en Matemáticas;Inactivo Eliminado 2PP consecu;2,8571;ENERO-MARZO 2018
16780;OPSU;2015;2016;PRIVADO;Aragua;16,9512;F;Ingeniería de Materiales;Activo Periodo de Prueba;2,9736;ENERO-MARZO 2018
16781;ADMISION REGULAR;2015;2016;PRIVADO;Miranda;16,3902;M;Ingeniería Geofísica;Activo Normal;4,1896;ENERO-MARZO 2018
16782;OPSU;2015;2016;PRIVADO;;17,2051;M;Licenciatura en Biología;Activo Normal;3,8275;ENERO-MARZO 2018
16783;OPSU;2015;2016;PRIVADO;Miranda;15,6341;M;Licenciatura en Matemáticas;Activo Normal;3,8;ENERO-MARZO 2018
16784;OPSU;2015;2016;PRIVADO;;16,3902;M;Lic en Matemáticas ( Didáctica de la Mat.);Activo Normal;3,7659;ENERO-MARZO 2018
16785;ADMISION REGULAR;2015;2016;PRIVADO;Distrito Federal;16,0243;F;Arquitectura;Activo Normal;3,8181;ENERO-MARZO 2018
16786;ADMISION REGULAR;2015;2016;PRIVADO;Distrito Federal;14,5121;M;Ingeniería de Materiales;Activo Normal;3,8928;ENERO-MARZO 2018
16787;ADMISION REGULAR;2015;2016;PRIVADO;Distrito Federal;19,6585;F;Ingeniería Geofísica;Activo Normal;4,6229;ENERO-MARZO 2018
16788;OPSU;2015;2016;PRIVADO;Distrito Federal;15,35;M;Tecnología Electrónica;Activo Normal;3,1666;ENERO-MARZO 2018
16789;OPSU;2015;2016;PRIVADO;Aragua;18,0975;F;Ingeniería de Materiales;Activo Normal;3,6875;ENERO-MARZO 2018
16790;OPSU;2015;2016;PRIVADO;Aragua;18,0487;F;Ingeniería de Materiales;Activo Normal;3,4423;ENERO-MARZO 2018
16791;ADMISION REGULAR;2015;2016;PRIVADO;Miranda;17,6279;M;Ingeniería de Computación;Activo Normal;4,6811;ENERO-MARZO 2018
16792;ADMISION REGULAR;2015;2016;SEMI-PRIVADO;Distrito Federal;16,6585;F;Ingeniería Eléctrica;Activo Normal;3,8253;ENERO-MARZO 2018
16793;OPSU;2015;2016;PRIVADO;MIRANDA;18,2195;F;Comercio Exterior;Activo Normal;4,1186;ENERO-MARZO 2018
16794;OPSU;2015;2016;PRIVADO;Miranda;18,75;F;Comercio Exterior;Activo Normal;3,4255;ENERO-MARZO 2018
16795;ADMISION REGULAR;2015;2016;PRIVADO;ARAGUA;18,5122;F;Comercio Exterior;Activo Normal;4,8615;ENERO-MARZO 2018
16796;ADMISION REGULAR;2014;2014;SEMI-PRIVADO;Miranda;14,9512;M;Comercio Exterior;Activo Normal;3,7522;ENERO-MARZO 2018
16797;ADMISION REGULAR;2013;2013;PRIVADO;Miranda;17,5121;M;Ingeniería de Producción;Activo Normal;4,6428;ENERO-MARZO 2018
16798;ADMISION REGULAR;2014;2014;PRIVADO;Miranda;17,0243;M;Ingeniería Mecánica;Activo Normal;3,3678;ENERO-MARZO 2018
16799;OPSU;2014;2014;SEMI-PRIVADO;Vargas;19,317;M;Ingeniería de Computación;Activo Normal;3,5875;ENERO-MARZO 2018
16800;ADMISION REGULAR;2015;2016;OFICIAL;SUCRE;18,122;F;Comercio Exterior;Activo Normal;3,6101;ENERO-MARZO 2018
16801;ADMISION REGULAR;2014;2014;PRIVADO;Aragua;17,5121;M;Ingeniería Electrónica;Activo Normal;4,0480;ENERO-MARZO 2018
16802;ADMISION REGULAR;2015;2016;PRIVADO;Miranda;18,4146;F;Comercio Exterior;Activo Normal;3,3333;ENERO-MARZO 2018
16803;ADMISION REGULAR;2015;2016;PRIVADO;Miranda;15,4047;M;Tecnología Eléctrica;Activo Normal;3,4736;ENERO-MARZO 2018
16804;ADMISION REGULAR;2015;2016;PRIVADO;Miranda;14,1666;M;Organización Empresarial;Activo Normal;3,4716;ENERO-MARZO 2018
16805;OPSU;2014;2014;OFICIAL;Distrito Federal;17,1463;F;Tecnología Eléctrica;Activo Normal;3,2678;ENERO-MARZO 2018
16806;ADMISION REGULAR;2014;2014;SEMI-PRIVADO;Miranda;17,5476;M;Organización Empresarial;Activo Normal;4,0421;ENERO-MARZO 2018
16807;OPSU;2014;2014;PRIVADO;Portuguesa;19,9512;M;Ingeniería Química;Activo Normal;3,7524;ENERO-MARZO 2018
16808;ADMISION REGULAR;2015;2016;PRIVADO;Distrito Federal;13,317;M;Tecnología Eléctrica;Activo Normal;3,6;ENERO-MARZO 2018
16809;EQUIVALENCIA;2015;2016;PRIVADO;Distrito Federal;15,325;M;Ingeniería Eléctrica;Activo Normal;3,8461;ENERO-MARZO 2018
16810;OPSU;2014;2014;PRIVADO;Lara;19,4878;F;Arquitectura;Activo Normal;3,6111;ENERO-MARZO 2018
16811;OPSU;2014;2014;SEMI-PRIVADO;Aragua;18,6829;M;Arquitectura;Activo Normal;3,5714;ENERO-MARZO 2018
16812;ADMISION REGULAR;2014;2014;PRIVADO;Distrito Federal;17,1951;F;Licenciatura en Química;Activo Normal;4,1632;ENERO-MARZO 2018
16813;OPSU;2015;2016;SEMI-PRIVADO;Distrito Federal;16,2439;F;Ingeniería Eléctrica;Activo Normal;3,2708;ENERO-MARZO 2018
16814;CIU;2015;2016;PRIVADO;Distrito Federal;14,9512;M;Ingeniería Eléctrica;Activo Normal;3,8222;ENERO-MARZO 2018
16815;CIU;2015;2016;PRIVADO;Distrito Federal;15,6904;M;Ingeniería Eléctrica;Activo Normal;3,2083;ENERO-MARZO 2018
16816;ADMISION REGULAR;2014;2014;SEMI-PRIVADO;Miranda;16,6097;M;Ingeniería de Computación;Activo Normal;3,3918;ENERO-MARZO 2018
16817;ADMISION REGULAR;2015;2016;PRIVADO;Trujillo;15,8536;M;Comercio Exterior;Activo Normal;3,7358;ENERO-MARZO 2018
16818;ADMISION REGULAR;2014;2014;OFICIAL;Distrito Federal;17,0689;M;Ingeniería de Computación;Activo Normal;3,6538;ENERO-MARZO 2018
16819;ADMISION REGULAR;2014;2014;PRIVADO;Carabobo;16,6341;M;Licenciatura en Física;Activo Normal;3,8421;ENERO-MARZO 2018
16820;ADMISION REGULAR;2015;2016;SEMI-PRIVADO;DISTRITO CAPITAL;17,725;F;Comercio Exterior;Activo Normal;4,2372;ENERO-MARZO 2018
16821;ADMISION REGULAR;2014;2014;SEMI-PRIVADO;Miranda;18,093;F;Ingeniería Geofísica;Activo Normal;3,9514;ENERO-MARZO 2018
16822;ADMISION REGULAR;2014;2014;SEMI-PRIVADO;Miranda;17,1707;F;Ingeniería de Producción;Activo Normal;3,4487;ENERO-MARZO 2018
16823;ADMISION REGULAR;2014;2014;PRIVADO;Bolívar;18,878;F;Ingeniería Electrónica;Activo Normal;3,6336;ENERO-MARZO 2018
16824;OPSU;2014;2014;OFICIAL;Bolívar;18,9268;M;Ingeniería Eléctrica;Activo Normal;3,5853;ENERO-MARZO 2018
16825;OPSU;2014;2014;PRIVADO;Aragua;18,4878;F;Ingeniería de Materiales;Activo Normal;3,1643;ENERO-MARZO 2018
16826;OPSU;2014;2014;;;;F;Ingeniería de Telecomunicaciones;Activo Normal;4,0227;ENERO-MARZO 2018
16827;ADMISION REGULAR;2015;2016;PRIVADO;MIRANDA;16,3902;F;Comercio Exterior;Inactivo Elim.trim.1 no aprob.;3,5945;ENERO-MARZO 2018
16828;ADMISION REGULAR;2014;2014;PRIVADO;Miranda;15,8048;M;Ingeniería de Materiales;Activo Normal;3,5769;ENERO-MARZO 2018
16829;ADMISION REGULAR;2014;2014;PRIVADO;Distrito Federal;18,5121;M;Ingeniería Mecánica;Activo Normal;4,2264;ENERO-MARZO 2018
16830;ADMISION REGULAR;2014;2014;PRIVADO;Distrito Federal;13,2439;M;Ingeniería Mecánica;Activo Normal;3,0941;ENERO-MARZO 2018
16831;ADMISION REGULAR;2014;2014;PRIVADO;Distrito Federal;16,6585;M;Lic.en Matemáticas (Est. y Mat.Computacional);Activo Normal;3,6493;ENERO-MARZO 2018
16832;ADMISION REGULAR;2014;2014;PRIVADO;Miranda;17,68;M;Ingeniería de Producción;Activo Normal;4,1869;ENERO-MARZO 2018
16833;ADMISION REGULAR;2015;2016;OFICIAL;ARAGUA;19,1463;M;Comercio Exterior;Activo Normal;4,1864;ENERO-MARZO 2018
16834;ADMISION REGULAR;2015;2016;SEMI-PRIVADO;Distrito Federal;16,1951;M;Tecnología Eléctrica;Activo Periodo de Prueba;2,3846;ENERO-MARZO 2018
16835;ADMISION REGULAR;2015;2016;PRIVADO;Aragua;12,6341;M;Organización Empresarial;Activo Normal;3,3584;ENERO-MARZO 2018
16836;ADMISION REGULAR;2015;2016;PRIVADO;Distrito Federal;14,2682;M;Tecnología Eléctrica;Activo Normal;3,3584;ENERO-MARZO 2018
16837;ADMISION REGULAR;2014;2014;PRIVADO;Miranda;15,5531;F;Urbanismo;Activo Normal;4,0747;ENERO-MARZO 2018
